"","hhid14","commid14","sc01_14_14","sc02_14_14","sc03_14_14","year","asset","natrep","natdis","assistance","assistance.x","wealth","wealth.0","asset.lag","asset.ihs","asset.ihs.lag","wealth.lag","asset.ihs.delta","natrep.0","natrep.1","natdis.0","natdis.1","assistance.prop.ihs"
"1","0012200","1202",12,1,62,2007,39535125,1,1,0,0,2,4,92805680,18.1858472557975,19.0391655833399,4,-0.85331832754234,1,1,1,0,0
"2","0012200","1202",12,1,62,2014,142700000,1,0,0,0,3,4,39535125,19.469402263007,18.1858472557975,2,1.28355500720949,1,1,1,0,0
"3","0012500","1202",12,1,62,2007,26564591.8,1,1,99999998,1,2,1,11415668,17.7882369322259,16.9436445362857,1,0.844592395940197,1,0,1,0,2.86657259184077
"4","0012500","1202",12,1,62,2014,74300000,0,0,0,0,2,1,26564591.8,18.8167686902479,17.7882369322259,2,1.02853175802206,1,0,1,0,0
"5","0012900","1202",12,1,62,2007,14571517.5,1,1,0,0,1,2,13379960,17.1877265056757,17.1024158036832,2,0.085310701992519,1,0,1,0,0
"6","0012900","1202",12,1,62,2014,51690000,0,0,0,0,2,2,14571517.5,18.4539220777322,17.1877265056757,1,1.26619557205644,1,0,1,0,0
"7","0020100","1201",12,14,34,2007,72345513.5,1,1,0,0,3,3,35357256,18.7901111786216,18.0741613714725,3,0.715949807149055,1,0,1,0,0
"8","0020100","1201",12,14,34,2014,150190000,0,0,0,0,3,3,72345513.5,19.5205588977417,18.7901111786216,3,0.730447719120122,1,0,1,0,0
"9","0020200","1201",12,14,34,2007,25031382,1,1,0,0,2,1,711700,17.7287880561872,14.1685589338478,1,3.56022912233939,1,0,1,0,0
"10","0020200","1201",12,14,34,2014,13700000,0,0,0,0,1,1,25031382,17.1260535713583,17.7287880561872,2,-0.602734484828886,1,0,1,0,0
"11","0020400","1201",12,14,34,2007,60795232.6,1,1,0,0,3,1,2135100,18.6161691132378,15.2671712225155,1,3.34899789072234,1,0,1,0,0
"12","0020400","1201",12,14,34,2014,113050000,0,0,0,0,3,1,60795232.6,19.2364879372482,18.6161691132378,3,0.620318824010386,1,0,1,0,0
"13","0021800","1201",12,14,34,2007,115035918,1,1,0,0,4,2,13180684,19.2539021485573,17.0874101630653,2,2.16649198549191,1,0,1,0,0
"14","0021800","1201",12,14,34,2014,91100000,0,0,0,0,3,2,115035918,19.0206155427901,19.2539021485573,4,-0.233286605767123,1,0,1,0,0
"15","0021831","12AB",12,14,32,2007,78618420,1,1,0,0,3,1,939444,18.8732637616485,14.4461906704459,1,4.42707309120261,1,0,1,0,0
"16","0021831","12AB",12,14,32,2014,1e+05,0,0,0,0,1,1,78618420,12.2060726455552,18.8732637616485,3,-6.6671911160933,1,0,1,0,0
"17","0021900","1201",12,14,34,2007,19250970.2,1,1,0,0,1,1,284680,17.466219197988,13.2522682019762,1,4.21395099601174,1,0,1,0,0
"18","0021900","1201",12,14,34,2014,535655000,0,0,0,0,5,1,19250970.2,20.7921480356427,17.466219197988,1,3.32592883765471,1,0,1,0,0
